entry_time,exit_time,entry_price,exit_price,position,profit_loss,profit_pct,duration_hours,exit_reason,entry_month,exit_month
2022-03-30 17:00:00,2022-04-02 09:00:00,47659.5,46682.5,LONG,-884.4018121892314,-2.0499585602031076,64.0,Bearish MACD divergence detected,2022-03,2022-04
2022-04-02 15:00:00,2022-04-05 08:00:00,46295.06,46665.89,LONG,337.80902948736855,0.8010141902829412,65.0,RSI reversal from overbought levels (RSI: 80.65),2022-04,2022-04
2022-04-08 14:00:00,2022-04-11 19:00:00,43750.14,39985.33,LONG,-3650.8500277207936,-8.605252463192112,77.0,Trailing stop hit at $40250.13 (8.0% from high of $43750.14),2022-04,2022-04
2022-04-13 12:00:00,2022-04-13 13:00:00,39700.01,40521.75,SHORT,-800.9132315617815,-2.069873534036888,1.0,Bullish MACD divergence detected,2022-04,2022-04
2022-04-14 13:00:00,2022-04-14 16:00:00,40605.62,39951.1,SHORT,609.5601058480444,1.6118951022050743,3.0,RSI reversal from oversold levels (RSI: 15.75),2022-04,2022-04
2022-04-16 15:00:00,2022-04-17 02:00:00,40062.68,40166.93,SHORT,-99.79257967787518,-0.2602172395855694,11.0,Bullish MACD divergence detected,2022-04,2022-04
2022-04-17 02:00:00,2022-04-18 05:00:00,40166.93,38922.21,SHORT,1182.9420571273185,3.0988676505772315,27.0,RSI reversal from oversold levels (RSI: 19.98),2022-04,2022-04
2022-04-24 16:00:00,2022-04-26 16:00:00,39490.01,38667.14,SHORT,818.4692509755013,2.083742192012619,48.0,RSI reversal from oversold levels (RSI: 12.92),2022-04,2022-04
