timestamp,equity,month
2023-04-01 00:00:00,75069.50852728658,2023-04
2023-04-01 01:00:00,75524.49332382178,2023-04
2023-04-01 02:00:00,75452.50773899052,2023-04
2023-04-01 03:00:00,75340.95252025312,2023-04
2023-04-01 04:00:00,75443.63822798821,2023-04
2023-04-01 05:00:00,75420.09178806542,2023-04
2023-04-01 06:00:00,75186.84476658798,2023-04
2023-04-01 07:00:00,75034.45284094411,2023-04
2023-04-01 08:00:00,75075.55352139233,2023-04
2023-04-01 09:00:00,75035.77270865279,2023-04
2023-04-01 10:00:00,75140.91337032602,2023-04
2023-04-01 11:00:00,74896.81703628325,2023-04
2023-04-01 12:00:00,75028.90939656766,2023-04
2023-04-01 13:00:00,75015.47314329333,2023-04
2023-04-01 14:00:00,74752.13313805807,2023-04
2023-04-01 15:00:00,74968.67063434364,2023-04
2023-04-01 16:00:00,74773.1454319802,2023-04
2023-04-01 17:00:00,74895.54996328292,2023-04
2023-04-01 18:00:00,74907.08560705677,2023-04
2023-04-01 19:00:00,74920.91782064369,2023-04
2023-04-01 20:00:00,75017.0813229043,2023-04
2023-04-01 21:00:00,75017.0813229043,2023-04
2023-04-01 22:00:00,75017.0813229043,2023-04
2023-04-01 23:00:00,75017.0813229043,2023-04
2023-04-02 00:00:00,75017.0813229043,2023-04
2023-04-02 01:00:00,75017.0813229043,2023-04
2023-04-02 02:00:00,75017.0813229043,2023-04
2023-04-02 03:00:00,75017.0813229043,2023-04
2023-04-02 04:00:00,75017.0813229043,2023-04
2023-04-02 05:00:00,75017.0813229043,2023-04
2023-04-02 06:00:00,75017.0813229043,2023-04
2023-04-02 07:00:00,75017.0813229043,2023-04
2023-04-02 08:00:00,75017.0813229043,2023-04
2023-04-02 09:00:00,75017.0813229043,2023-04
2023-04-02 10:00:00,75017.0813229043,2023-04
2023-04-02 11:00:00,75017.0813229043,2023-04
2023-04-02 12:00:00,75017.0813229043,2023-04
2023-04-02 13:00:00,75017.0813229043,2023-04
2023-04-02 14:00:00,75017.0813229043,2023-04
2023-04-02 15:00:00,75017.0813229043,2023-04
2023-04-02 16:00:00,75017.0813229043,2023-04
2023-04-02 17:00:00,75017.0813229043,2023-04
2023-04-02 18:00:00,75017.0813229043,2023-04
2023-04-02 19:00:00,75017.0813229043,2023-04
2023-04-02 20:00:00,75017.0813229043,2023-04
2023-04-02 21:00:00,75017.0813229043,2023-04
2023-04-02 22:00:00,75017.0813229043,2023-04
2023-04-02 23:00:00,75017.0813229043,2023-04
2023-04-03 00:00:00,75017.0813229043,2023-04
2023-04-03 01:00:00,75017.0813229043,2023-04
2023-04-03 02:00:00,75017.0813229043,2023-04
2023-04-03 03:00:00,75017.0813229043,2023-04
2023-04-03 04:00:00,75017.0813229043,2023-04
2023-04-03 05:00:00,75017.0813229043,2023-04
2023-04-03 06:00:00,75017.0813229043,2023-04
2023-04-03 07:00:00,75017.0813229043,2023-04
2023-04-03 08:00:00,74942.06424158139,2023-04
2023-04-03 09:00:00,74921.77817725344,2023-04
2023-04-03 10:00:00,74859.46531212085,2023-04
2023-04-03 11:00:00,74727.11659517542,2023-04
2023-04-03 12:00:00,74487.17503639664,2023-04
2023-04-03 13:00:00,74740.47313035876,2023-04
2023-04-03 14:00:00,74042.91816218954,2023-04
2023-04-03 15:00:00,74192.19397322871,2023-04
2023-04-03 16:00:00,73873.11824956171,2023-04
2023-04-03 17:00:00,74020.27817383916,2023-04
2023-04-03 18:00:00,74458.05514483852,2023-04
2023-04-03 19:00:00,74270.48178341227,2023-04
2023-04-03 20:00:00,72952.54881670748,2023-04
2023-04-03 21:00:00,73301.08826353139,2023-04
2023-04-03 22:00:00,73527.03852109831,2023-04
2023-04-03 23:00:00,73527.06496968282,2023-04
2023-04-04 00:00:00,73422.8046494992,2023-04
2023-04-04 01:00:00,73569.80588226952,2023-04
2023-04-04 02:00:00,73678.74760191343,2023-04
2023-04-04 03:00:00,73672.69087605803,2023-04
2023-04-04 04:00:00,73563.72270782958,2023-04
2023-04-04 05:00:00,73765.12867896055,2023-04
2023-04-04 06:00:00,74262.70589956295,2023-04
2023-04-04 07:00:00,74112.37214514292,2023-04
2023-04-04 08:00:00,74329.72661274036,2023-04
2023-04-04 09:00:00,74581.7287260609,2023-04
2023-04-04 10:00:00,74636.92692195722,2023-04
2023-04-04 11:00:00,74746.83401493618,2023-04
2023-04-04 12:00:00,74746.83401493618,2023-04
2023-04-04 13:00:00,74746.83401493618,2023-04
2023-04-04 14:00:00,74746.83401493618,2023-04
2023-04-04 15:00:00,74746.83401493618,2023-04
2023-04-04 16:00:00,74746.83401493618,2023-04
2023-04-04 17:00:00,74746.83401493618,2023-04
2023-04-04 18:00:00,74746.83401493618,2023-04
2023-04-04 19:00:00,74746.83401493618,2023-04
2023-04-04 20:00:00,74746.83401493618,2023-04
2023-04-04 21:00:00,74746.83401493618,2023-04
2023-04-04 22:00:00,74746.83401493618,2023-04
2023-04-04 23:00:00,74746.83401493618,2023-04
2023-04-05 00:00:00,74746.83401493618,2023-04
2023-04-05 01:00:00,74746.83401493618,2023-04
2023-04-05 02:00:00,74746.83401493618,2023-04
2023-04-05 03:00:00,74746.83401493618,2023-04
2023-04-05 04:00:00,74746.83401493618,2023-04
2023-04-05 05:00:00,74746.83401493618,2023-04
2023-04-05 06:00:00,74746.83401493618,2023-04
2023-04-05 07:00:00,74746.83401493618,2023-04
2023-04-05 08:00:00,74746.83401493618,2023-04
2023-04-05 09:00:00,74746.83401493618,2023-04
2023-04-05 10:00:00,74746.83401493618,2023-04
2023-04-05 11:00:00,74746.83401493618,2023-04
2023-04-05 12:00:00,74746.83401493618,2023-04
2023-04-05 13:00:00,74746.83401493618,2023-04
2023-04-05 14:00:00,74746.83401493618,2023-04
2023-04-05 15:00:00,74746.83401493618,2023-04
2023-04-05 16:00:00,74746.83401493618,2023-04
2023-04-05 17:00:00,74746.83401493618,2023-04
2023-04-05 18:00:00,74746.83401493618,2023-04
2023-04-05 19:00:00,74746.83401493618,2023-04
2023-04-05 20:00:00,74746.83401493618,2023-04
2023-04-05 21:00:00,74746.83401493618,2023-04
