entry_time,exit_time,entry_price,exit_price,position,profit_loss,profit_pct,duration_hours,exit_reason,entry_month,exit_month,month_str
2021-11-01 05:00:00,2021-11-03 18:00:00,60618.0,63149.04,SHORT,-1253.2833551823028,-4.175393447490846,61.0,Bullish MACD divergence detected,2021-11,2021-11,2021-11
2021-11-09 18:00:00,2021-11-09 21:00:00,66520.37,67721.0,LONG,518.078392288385,1.804905775479007,3.0,Bearish MACD divergence detected,2021-11,2021-11,2021-11
2021-11-13 14:00:00,2021-11-15 10:00:00,64725.78,65921.36,LONG,538.7033588704684,1.8471465311039925,44.0,RSI reversal from overbought levels (RSI: 82.46),2021-11,2021-11,2021-11
2021-11-15 14:00:00,2021-11-17 01:00:00,64851.0,59317.37,LONG,-2529.469815402071,-8.532836810534915,35.0,Trailing stop hit at $59662.92 (8.0% from high of $64851.00),2021-11,2021-11,2021-11
2021-11-20 15:00:00,2021-11-22 07:00:00,57588.37,57259.54,SHORT,154.49994769324795,0.5710007072608614,40.0,RSI reversal from oversold levels (RSI: 19.02),2021-11,2021-11,2021-11
2021-11-24 08:00:00,2021-11-26 12:00:00,56849.02,54299.98,SHORT,1217.7315964485817,4.483876766916992,52.0,RSI reversal from oversold levels (RSI: 11.54),2021-11,2021-11,2021-11
