entry_time,exit_time,entry_price,exit_price,position,profit_loss,profit_pct,duration_hours,exit_reason,entry_month,exit_month,month_str
2021-12-06 00:00:00,2021-12-06 01:00:00,48743.61,48804.19,SHORT,-35.19722268911554,-0.12428295729430329,1.0,Bullish MACD divergence detected,2021-12,2021-12,2021-12
2021-12-06 11:00:00,2021-12-09 07:00:00,48577.78,50016.89,SHORT,-836.2641711402428,-2.962486140782886,68.0,Bullish MACD divergence detected,2021-12,2021-12,2021-12
2021-12-19 23:00:00,2021-12-20 14:00:00,46681.23,46307.49,SHORT,218.862733476105,0.8006215774520191,15.0,Bullish MACD divergence detected,2021-12,2021-12,2021-12
2021-12-25 14:00:00,2021-12-25 18:00:00,50744.9,50986.34,LONG,130.84555973900524,0.47579165591023936,4.0,Bearish MACD divergence detected,2021-12,2021-12,2021-12
2021-12-25 18:00:00,2021-12-27 12:00:00,50986.34,51118.83,LONG,71.65820120279778,0.2598539138130041,42.0,Bearish MACD divergence detected,2021-12,2021-12,2021-12
