entry_time,exit_time,entry_price,exit_price,position,profit_loss,profit_pct,duration_hours,exit_reason,entry_month,exit_month
2024-08-30 09:00:00,2024-09-03 12:00:00,59580.64,59135.01,LONG,-1223.2805468442914,-0.7479442986849376,99.0,Bearish MACD divergence detected,2024-08,2024-09
2024-09-03 13:00:00,2024-09-04 13:00:00,58398.99,56490.0,SHORT,5295.687406351285,3.268875026777001,24.0,Bullish MACD divergence detected,2024-09,2024-09
2024-09-08 15:00:00,2024-09-11 12:00:00,53687.0,56748.01,SHORT,-9519.931412109969,-5.701585113714684,69.0,Bullish MACD divergence detected,2024-09,2024-09
2024-09-20 18:00:00,2024-09-20 21:00:00,62865.45,63116.03,LONG,626.2989258519997,0.39859732174032275,3.0,Bearish MACD divergence detected,2024-09,2024-09
2024-09-22 17:00:00,2024-09-23 14:00:00,63062.66,63394.5,LONG,828.4457751881057,0.5262067917845465,21.0,Bearish MACD divergence detected,2024-09,2024-09
2024-09-23 16:00:00,2024-09-24 17:00:00,63227.55,63775.86,LONG,1369.7458666525342,0.8672010856027121,25.0,Bearish MACD divergence detected,2024-09,2024-09
2024-09-24 17:00:00,2024-09-25 14:00:00,63775.86,63936.5,LONG,400.49974277389805,0.251882138476846,21.0,Bearish MACD divergence detected,2024-09,2024-09
2024-09-28 15:00:00,2024-09-28 18:00:00,65619.13,65715.01,LONG,232.4486512205091,0.14611592686460503,3.0,Bearish MACD divergence detected,2024-09,2024-09
