Month,Return (%),Start Equity,End Equity,Trade Count,Win Rate (%),Profit Factor,Avg Duration (hrs)
2020-01,5.840808716793844,10000.0,10584.080871679384,7,71.42857142857143,5.034499173149629,33.0
2020-02,13.286397192682431,10618.23369083018,12029.014393841102,7,85.71428571428571,24.116823353104603,52.0
2020-03,12.97880385522876,11996.498897357702,13553.50095874044,5,40.0,0.6025562049371345,33.8
2020-04,10.520842663300867,13553.50095874044,14979.443469978496,15,66.66666666666666,3.6971349032781085,16.866666666666667
2020-05,-12.05588542549415,14979.443469978496,13173.538927861224,10,70.0,0.5143384750358436,30.3
2020-06,4.498815393492195,13173.538927861224,13766.192125015532,13,84.61538461538461,23.68784123659077,27.0
2020-07,0.7414133202372275,13791.623352088798,13893.876284698132,17,64.70588235294117,2.7835437742016524,22.352941176470587
2020-08,0.9630670032229061,13893.876284698132,14027.683622664672,7,57.14285714285714,2.858889737466648,39.857142857142854
2020-09,-5.6011133680514025,14074.191326723212,13285.879914876987,9,66.66666666666666,0.4575246405040354,58.77777777777778
2020-10,19.330900156641427,13271.618769034716,15837.1421424469,12,91.66666666666666,112.69372424205893,32.583333333333336
2020-11,13.947819868149436,15837.1421424469,18046.07820073818,5,100.0,inf,60.8
2020-12,14.323041367479394,18046.07820073818,20630.825446637587,8,87.5,69.12420931302316,28.375
2021-01,-2.030089296729032,20630.825446637587,20212.00126741855,3,66.66666666666666,0.5857073239957923,48.666666666666664
2021-02,2.6054410612170953,20212.00126741855,20738.61304773359,6,83.33333333333334,2.362577597986159,19.166666666666668
2021-03,3.8519726003366284,21235.546784152095,22053.534227809298,7,57.14285714285714,0.8221252282952745,31.428571428571427
2021-04,-16.44973666760513,22053.534227809298,18425.785921434504,9,44.44444444444444,0.28779055910031726,33.666666666666664
2021-05,-4.274531848520735,18425.785921434504,17638.169833882537,2,50.0,7.98823993501146,17.5
2021-06,18.0740058822902,17350.38286748574,20486.292087554983,1,0.0,0.0,77.0
2021-07,16.923826708433154,20486.292087554983,23953.356659436242,8,75.0,1.6589867185967988,33.0
2021-08,3.424700544642345,23953.356659436242,24773.68739541208,5,80.0,24.033360507836687,25.0
2021-09,2.732224725888588,24591.622642667026,25263.52103700719,6,66.66666666666666,2.569611918098088,48.666666666666664
2021-10,18.542023958998442,25346.269032699718,30045.980309455103,15,80.0,9.07455795651939,22.466666666666665
2021-11,-5.649338211883759,30045.980309455103,28348.581262697986,6,66.66666666666666,0.6421284143489172,39.166666666666664
2021-12,-2.5685887484789394,28348.581262697986,27620.422794030917,5,60.0,0.48351710976701767,26.0
2022-01,17.937495494493795,27620.422794030917,32574.83488827035,6,33.33333333333333,0.6414339177589341,39.0
2022-02,4.901678543631949,32574.83488827035,34171.54858061223,8,75.0,1.720046430592481,20.5
